ShotType;Competition;PlayerType;Transition;TwoLegged;Movement;Angle;Distance
layup;U14;C;1;0;dribble or cut;44.04;2
layup;U14;C;0;0;dribble or cut;67.02;0.93
layup;U14;C;1;1;no;26.93;0.71
other;U14;C;1;0;dribble or cut;64.14;0.83
layup;U14;C;0;0;dribble or cut;62.28;0.67
above head;U14;C;0;1;no;11.39;1.08
layup;U14;C;1;0;dribble or cut;77.03;0.66
above head;U14;C;0;1;no;65.54;4.65
other;U14;C;1;1;no;86.59;5.21
layup;U14;C;1;0;dribble or cut;7.32;0.42
other;U14;C;0;0;drive;57.01;0.77
layup;U14;C;1;0;dribble or cut;54.23;0.99
layup;U14;C;0;0;dribble or cut;55.84;0.65
above head;U14;C;1;0;no;55.84;0.65
above head;U14;C;0;0;no;66.54;0.64
above head;U14;C;0;0;no;64.28;0.71
above head;U14;F;0;0;no;49.12;0.64
layup;U14;F;0;0;drive;62.56;0.91
above head;U14;F;0;0;dribble or cut;35.46;1.57
above head;U14;F;0;1;no;76.6;3.19
above head;U14;F;0;1;no;53.81;2.99
above head;U14;F;0;1;no;53.25;7.09
above head;U14;F;0;0;no;37.13;4.17
above head;U14;F;0;1;no;63.84;1.31
above head;U14;F;0;1;no;45.82;5.08
above head;U14;F;0;0;no;54.29;2.38
above head;U14;F;0;0;no;44.04;2
above head;U14;F;0;1;no;71.79;2.37
hook shot;U14;F;0;1;no;9.55;0.97
hook shot;U14;F;0;1;no;0;1.49
above head;U14;F;0;0;dribble or cut;32.3;1.7
layup;U14;F;0;1;no;58.33;0.69
layup;U14;F;1;0;dribble or cut;16.75;1.67
above head;U14;F;0;1;no;67.48;7.13
above head;U14;F;1;1;no;50.16;1.74
above head;U14;F;0;1;no;43.12;3.45
above head;U14;F;0;1;no;21.9;7.18
above head;U14;F;0;1;no;83.27;4.48
above head;U14;F;0;1;no;66.29;7.2
above head;U14;F;0;1;no;12.42;3.74
above head;U14;F;0;1;no;43.83;3.71
above head;U14;F;0;1;no;71.36;2.15
above head;U14;F;0;1;no;2.16;7.1
layup;U14;F;0;0;drive;43.36;1.09
above head;U14;F;1;0;no;49.85;0.98
other;U14;F;0;1;no;30.54;5.8
layup;U14;G;0;0;dribble or cut;69.35;0.57
above head;U14;G;0;1;no;89.89;7.07
layup;U14;G;1;0;dribble or cut;60.52;0.74
layup;U14;G;0;1;no;17.02;0.55
layup;U14;G;1;1;no;70.78;4.54
layup;U14;G;0;0;drive;64.77;0.47
layup;U14;G;1;0;dribble or cut;80.02;0.54
above head;U14;G;0;1;no;60.04;1.05
other;U14;G;0;0;dribble or cut;12.33;1.25
above head;U14;G;0;1;no;64.28;0.71
above head;U14;G;0;0;dribble or cut;51.36;0.75
above head;U14;G;0;0;dribble or cut;45.33;1.13
layup;U14;G;0;0;drive;81.66;0.65
layup;U14;G;1;1;no;50.46;0.49
layup;U14;G;0;0;dribble or cut;64.77;0.47
above head;U14;G;0;1;no;81.32;7.05
above head;U14;G;0;1;no;2.52;3.65
above head;U14;G;1;0;dribble or cut;64.28;0.71
other;U14;G;0;1;no;86.86;7.14
layup;U14;G;0;1;no;36.39;0.45
layup;U14;G;0;0;dribble or cut;37.08;1.33
layup;U14;G;1;0;dribble or cut;65.27;0.35
layup;U14;G;1;0;dribble or cut;0;0.69
above head;U14;G;0;1;no;84.11;3.02
layup;U14;G;1;1;no;12.25;0.76
hook shot;U14;C;0;1;no;52.99;0.87
above head;U14;C;0;1;no;57.29;0.57
layup;U14;C;0;1;no;61.7;0.43
above head;U14;C;0;0;no;45.23;1.43
above head;U14;C;0;1;no;16.25;4.98
layup;U14;C;0;0;drive;48.67;0.71
above head;U14;F;0;0;no;23.62;1.34
above head;U14;F;0;0;dribble or cut;61.43;2.56
layup;U14;F;1;1;no;72.34;0.84
layup;U14;F;0;0;dribble or cut;60.52;0.74
layup;U14;F;1;0;dribble or cut;57.01;0.77
above head;U14;F;0;1;no;28.56;5.38
layup;U14;F;1;0;dribble or cut;59.97;0.62
other;U14;F;0;1;no;57.64;7.42
other;U14;F;0;1;no;68.75;7.24
layup;U14;F;0;1;no;16.54;0.94
other;U14;F;0;1;no;42.59;7.44
above head;U14;F;0;0;no;13.18;0.71
other;U14;F;0;1;no;55.17;7.05
other;U14;F;0;0;dribble or cut;67.57;0.81
above head;U14;F;1;0;no;45.76;0.6
other;U14;F;0;1;no;47.34;5.46
other;U14;F;0;1;no;58.27;7.24
layup;U14;F;1;0;dribble or cut;52.99;0.6
above head;U14;G;1;1;no;47.57;3.41
above head;U14;G;0;1;no;78.89;3
other;U14;F;0;1;no;75.35;5.48
layup;U14;F;0;1;no;45.58;0.75
other;U14;F;0;1;no;66.32;5.73
other;U14;C;0;0;dribble or cut;73.88;1.12
layup;U14;C;0;0;dribble or cut;45.66;0.67
above head;U14;C;0;0;dribble or cut;74.55;0.56
above head;U14;C;0;1;no;7.33;5.04
layup;U14;C;0;0;dribble or cut;42.29;0.64
above head;U14;C;0;1;no;34.81;7.13
layup;U14;C;0;0;dribble or cut;4.46;0.69
above head;U14;C;0;1;no;64.14;0.83
layup;U14;C;0;0;dribble or cut;55.84;0.65
above head;U14;C;0;1;no;86.76;5.47
layup;U14;C;1;0;dribble or cut;45.58;0.75
layup;U14;C;0;1;no;68.3;0.69
layup;U14;C;0;0;dribble or cut;62.05;0.55
above head;U14;C;1;0;no;59.97;0.62
other;U14;C;0;0;dribble or cut;58.36;2.64
above head;U14;C;0;1;no;11.83;1.31
layup;U14;C;0;0;dribble or cut;68.3;0.69
layup;U14;C;0;0;drive;57.29;0.57
layup;U14;C;0;0;dribble or cut;52.99;0.6
layup;U14;C;0;0;dribble or cut;64.48;0.59
above head;U14;C;0;1;no;62.05;2.73
layup;U14;C;1;0;dribble or cut;57.29;0.57
layup;U14;C;0;0;dribble or cut;54.7;0.72
layup;U14;C;0;0;dribble or cut;58.33;0.69
above head;U14;C;0;1;no;12.25;0.76
above head;U14;C;0;1;no;3.98;4.63
layup;U14;C;0;1;no;54.7;0.72
above head;U14;C;0;1;no;53.07;7.24
above head;U14;C;0;1;no;75.76;5.42
above head;U14;C;0;0;dribble or cut;60.04;1.05
above head;U14;C;0;1;no;70.08;2.96
layup;U14;C;0;1;no;66.03;0.76
hook shot;U14;C;0;1;no;18.71;0.67
layup;U14;C;0;1;no;27.18;0.47
layup;U14;C;0;1;no;59.17;0.5
above head;U14;C;0;1;no;12.25;0.76
layup;U14;C;0;1;no;59.17;0.5
above head;U16;G;0;1;no;28.7;6.25
above head;U16;G;0;1;no;30.82;7.32
layup;U16;G;0;1;no;41.49;0.49
above head;U16;G;0;1;no;59;7.19
above head;U16;G;0;1;no;26.49;7.45
layup;U16;G;0;0;dribble or cut;69.35;0.57
hook shot;U16;G;0;1;no;2.3;1.33
above head;U16;G;0;1;no;1.59;3.86
above head;U16;G;0;1;no;45.53;7.28
layup;U16;G;0;1;no;3.61;0.85
layup;U16;G;0;0;dribble or cut;59.62;0.93
layup;U16;G;1;0;dribble or cut;55.92;0.84
above head;U16;G;0;0;dribble or cut;24.05;1.58
above head;U16;G;0;1;no;26.31;7.37
above head;U16;G;0;1;no;49.97;7.35
layup;U16;G;1;0;dribble or cut;3.61;0.85
layup;U16;G;1;0;dribble or cut;53.76;0.8
layup;U16;G;0;0;dribble or cut;50.76;0.83
dunk;U16;G;1;1;no;55.7;0.45
above head;U16;G;0;1;no;4.1;1.5
other;U16;G;0;0;dribble or cut;45.12;2.04
above head;U16;G;0;1;no;57.05;7.6
above head;U16;G;0;0;dribble or cut;4.6;1.34
hook shot;U16;G;0;1;no;16.34;1.33
above head;U16;G;0;1;no;34;0.96
above head;U16;F;0;0;dribble or cut;27.59;1.5
other;U16;F;1;1;no;80.02;0.54
above head;U16;F;1;0;no;68.3;0.69
other;U16;F;0;1;no;57.29;0.57
above head;U16;F;0;1;no;70.35;1.08
other;U16;F;1;0;drive;40.99;1.55
layup;U16;F;0;1;no;29.62;0.98
layup;U16;F;0;0;dribble or cut;68.45;0.4
layup;U16;F;0;1;no;67.57;0.81
hook shot;U16;F;0;1;no;27.95;2.06
layup;U16;F;0;0;dribble or cut;45.58;0.75
layup;U16;F;0;1;no;66.54;0.64
layup;U16;F;0;1;no;49.85;0.98
layup;U16;F;0;0;drive;71.09;0.62
above head;U16;F;0;1;no;66.48;2.4
above head;U16;F;0;1;no;48.23;7.25
above head;U16;F;0;1;no;86.35;6.98
above head;U16;F;0;1;no;38.39;7.68
other;U16;F;0;0;dribble or cut;0;1.6
layup;U16;F;0;1;no;69.35;0.57
above head;U16;F;0;0;no;61.07;1.53
other;U16;F;0;0;drive;20.99;1.2
layup;U16;F;0;0;dribble or cut;64.04;0.95
layup;U16;F;1;0;dribble or cut;42.78;0.79
other;U16;F;0;0;drive;0;1.12
above head;U16;F;0;1;no;69.03;6.88
above head;U16;F;0;1;no;67.08;7.15
above head;U16;F;0;1;no;84.89;7.1
above head;U16;F;0;1;no;64.56;7.24
above head;U16;F;0;1;no;85.14;6.83
layup;U16;F;1;0;dribble or cut;58.33;0.69
layup;U16;F;0;1;no;55.92;0.84
above head;U16;F;0;1;no;76.24;6.51
above head;U16;F;0;0;dribble or cut;64.14;0.83
hook shot;U16;F;0;1;no;20.99;1.2
layup;U16;F;0;0;drive;19.09;0.33
hook shot;U16;F;0;1;no;3.21;0.96
layup;U16;F;0;1;no;22.95;0.69
above head;U16;F;0;1;no;7.49;4.93
above head;U16;F;0;1;no;83.42;4.58
layup;U16;F;0;1;no;68.3;0.69
above head;U16;F;0;1;no;3.86;7.16
hook shot;U16;F;0;1;no;36.64;1.8
layup;U16;C;0;1;no;27.95;1.14
layup;U16;C;1;1;no;45.51;0.83
above head;U16;C;0;1;no;82.13;6.98
hook shot;U16;C;0;0;no;30.71;1.05
layup;U16;C;0;1;no;10.86;1.14
above head;U16;C;0;1;no;72.34;0.84
layup;U16;C;1;0;dribble or cut;48.67;0.71
layup;U16;F;1;0;dribble or cut;33.16;1.08
layup;U16;C;1;1;no;45.46;0.9
above head;U16;G;0;1;no;81.52;3.2
layup;U16;F;0;0;dribble or cut;77.6;0.44
other;U16;G;0;0;dribble or cut;79.52;2.89
layup;U16;F;1;1;no;63.02;2.34
above head;U16;F;0;1;no;52.37;2.98
layup;U16;G;0;0;drive;66.03;0.76
above head;U16;G;0;0;dribble or cut;57.01;0.77
layup;U16;G;0;1;no;60.52;0.74
above head;U16;G;0;0;dribble or cut;60.06;1.48
above head;U16;G;0;1;no;40.75;7.3
layup;U16;G;0;1;no;58.14;1.2
other;U16;G;0;1;no;84.93;7.15
other;U16;G;0;1;no;65.12;7.26
above head;U16;G;0;1;no;25.43;2.37
layup;U16;G;0;0;dribble or cut;58.33;0.69
above head;U16;G;0;1;no;48.55;7.22
above head;U16;G;0;1;no;40.21;7.39
above head;U16;G;0;1;no;4.51;4.09
layup;U16;G;1;1;no;67.57;0.81
above head;U16;G;0;1;no;52.3;7.11
above head;U16;G;0;1;no;57.19;1.47
other;U16;G;0;0;dribble or cut;31.55;2.76
above head;U16;G;0;1;no;6.54;7.52
above head;U16;G;0;1;no;42.03;7.52
layup;U16;G;0;1;no;61.77;1.34
layup;U16;C;0;1;no;52.99;0.6
other;U16;C;0;0;no;62.28;0.67
layup;U16;C;0;1;no;66.54;0.64
layup;U16;C;0;0;drive;62.56;0.91
above head;U16;C;0;1;no;65.48;5.42
layup;U16;C;1;0;dribble or cut;69.83;0.74
above head;U16;C;0;0;no;50.76;0.83
above head;U16;C;0;1;no;52.34;0.95
above head;U16;C;0;1;no;0.59;5.21
above head;U16;C;1;0;no;60.52;0.74
layup;U16;C;0;1;no;48.67;0.71
layup;U16;C;0;0;dribble or cut;62.44;0.79
layup;U16;C;1;1;no;72.56;0.67
above head;U16;C;0;1;no;84.44;5.97
above head;U16;G;0;1;no;34.9;4.12
above head;U16;F;1;0;no;40.97;0.98
above head;U16;G;0;1;no;0.67;4.56
layup;U16;C;0;0;dribble or cut;35.43;2.49
above head;U16;C;0;1;no;29.69;5.62
layup;U16;G;1;0;dribble or cut;58.33;0.69
layup;U16;G;1;0;dribble or cut;62.28;0.67
above head;U16;C;0;1;no;57.86;0.89
above head;U16;C;0;1;no;21.34;7.21
above head;U16;F;0;1;no;80.75;6.95
above head;U16;F;0;1;no;32.56;7.27
above head;U16;F;0;1;no;15.72;7.31
other;U16;F;1;1;no;67.88;7.11
above head;U16;F;1;0;dribble or cut;48.67;0.71
other;U16;F;0;0;dribble or cut;72.62;3.2
layup;U16;F;0;0;dribble or cut;52.08;0.68
above head;U16;F;0;1;no;80.89;7.05
layup;U16;F;1;0;dribble or cut;62.28;0.67
above head;U16;G;0;0;dribble or cut;57.86;0.89
above head;U16;G;0;1;no;45.79;7.55
above head;U16;G;0;1;no;63.79;7.28
layup;U16;G;0;0;drive;42.56;0.71
other;U16;G;0;0;dribble or cut;80.02;0.54
above head;U16;G;1;1;no;42.97;0.86
above head;U16;G;0;1;no;30.31;7.22
other;U16;G;0;1;no;79.67;7.13
above head;U16;G;0;1;no;70.76;7.15
above head;U16;G;0;1;no;87.25;7.03
above head;U16;G;0;1;no;39.89;7.35
above head;U16;G;0;1;no;21.34;2.36
layup;U16;G;0;0;dribble or cut;69.83;0.74
above head;U16;G;0;1;no;89.44;6.86
layup;U16;G;1;0;dribble or cut;57.01;0.77
above head;U16;G;0;1;no;28.44;7.09
above head;U16;G;0;1;no;36.96;7.4
above head;U16;G;0;0;dribble or cut;64.84;1.36
above head;U16;F;0;1;no;62.37;2.18
layup;U16;F;1;0;dribble or cut;74.55;0.56
layup;U16;F;1;0;dribble or cut;66.54;0.64
layup;U16;F;0;1;no;77.03;0.66
layup;U16;F;1;0;dribble or cut;52.99;0.6
above head;U16;F;0;1;no;76.96;2.8
other;U16;F;0;0;drive;58.4;1.82
above head;U16;F;0;1;no;61.59;3.59
layup;U16;F;0;0;drive;75.89;0.61
layup;U16;F;0;0;drive;78.94;0.49
above head;U16;F;0;1;no;23;5.48
above head;U16;F;0;1;no;86.1;6.93
layup;U16;F;1;1;no;64.28;0.71
above head;U16;F;0;1;no;71.35;1.98
above head;U16;F;0;1;no;46.11;5.65
above head;U16;F;0;1;no;63.2;5.94
other;U16;F;0;0;dribble or cut;43.46;1.17
above head;U16;F;0;1;no;87.48;6.43
above head;U16;F;0;1;no;29.29;3.5
layup;U16;F;1;1;no;64.28;0.71
layup;U16;F;1;1;no;74.55;0.56
above head;U16;F;0;1;no;75.58;7.08
layup;U16;F;0;1;no;22.03;0.86
other;U16;F;0;1;no;78.14;7.01
above head;U16;G;0;0;dribble or cut;66.65;2.28
above head;U16;G;0;1;no;9.91;8.4
hook shot;U16;G;0;0;no;38.8;1.71
above head;U16;G;1;1;no;71.17;7.13
above head;U16;G;0;1;no;55.48;7.67
above head;U16;G;0;1;no;31.66;5.61
above head;U16;G;0;0;dribble or cut;74.45;1.56
above head;U16;G;0;1;no;36.29;7.33
layup;U16;G;0;0;dribble or cut;59.97;0.62
above head;U16;G;0;1;no;20.59;7.46
above head;U16;G;0;1;no;24.98;7.23
other;U16;G;0;0;dribble or cut;38.8;1.71
above head;U16;G;0;1;no;53.42;7.21
other;U16;G;0;0;dribble or cut;43.26;3.75
above head;U16;G;0;1;no;73.95;4.63
above head;U16;G;0;0;dribble or cut;72.2;1.01
above head;U16;G;0;1;no;68.28;7.09
above head;U16;G;0;1;no;75.68;3.43
above head;U16;G;0;0;dribble or cut;30.31;7.22
layup;U16;G;0;0;dribble or cut;58.51;1.01
above head;U16;G;0;1;no;85.09;4.25
layup;U16;G;1;0;dribble or cut;39.23;0.68
above head;U16;G;0;1;no;44.65;7.93
above head;U16;G;0;1;no;31.75;7.33
above head;U16;G;0;1;no;56.02;7.11
above head;U16;G;0;0;dribble or cut;11.98;1.03
above head;U16;G;0;1;no;29.82;5.82
above head;U16;G;0;0;dribble or cut;1.92;1.6
above head;U16;G;0;1;no;28.65;5.14
other;U16;C;0;0;dribble or cut;32.28;1
above head;U16;C;0;1;no;29.07;4.85
layup;U16;C;0;1;no;64.48;0.59
layup;U16;C;0;0;drive;75.89;0.61
layup;U16;C;0;0;dribble or cut;80.02;0.54
layup;U16;C;1;1;no;13.18;0.71
hook shot;U16;C;0;0;no;4.6;1.34
layup;U16;C;0;1;no;3.86;0.8
layup;U16;C;0;1;no;68.3;0.69
layup;U16;C;0;1;no;45.9;0.52
layup;U16;C;0;0;dribble or cut;68.3;0.69
above head;U16;C;0;1;no;8.52;3.25
hook shot;U16;C;0;0;no;19.42;1.13
layup;U16;C;0;1;no;14.25;0.65
above head;U16;F;0;1;no;71.03;7.08
other;U16;F;0;1;no;42.78;0.79
layup;U16;F;0;1;no;43.54;1.24
layup;U16;F;0;1;no;21.48;1.32
above head;U16;F;1;1;no;35.16;7.16
layup;U16;F;0;0;drive;55.35;1.3
other;U16;F;0;1;no;40.86;0.41
other;U16;F;0;0;no;71.09;0.62
layup;U16;F;1;0;dribble or cut;64.48;0.59
tip-in;U16;F;0;1;no;50.76;0.83
layup;U16;F;0;1;no;18.83;0.5
layup;U16;F;0;1;no;9.55;0.97
layup;U16;F;0;1;no;64.48;0.59
layup;U16;F;0;1;no;69.83;0.74
above head;U16;F;0;1;no;88.33;6.91
above head;U16;F;0;1;no;75.42;3.16
layup;U16;F;0;1;no;34;0.96
above head;U16;F;0;0;no;60.7;1.84
above head;U16;F;0;1;no;29.67;7.36
hook shot;U16;F;0;1;no;57.29;0.57
above head;U16;F;0;1;no;29.91;1.29
above head;U16;F;0;0;no;65.66;0.88
layup;U16;F;0;1;no;41.94;0.56
layup;U16;F;0;1;no;38.52;0.6
other;U16;F;0;0;dribble or cut;35.28;2.23
layup;U16;F;0;1;no;70.94;0.45
layup;U16;F;0;1;no;62.28;0.67
above head;U16;F;0;0;no;49.23;3.11
above head;U16;F;0;1;no;18.79;7.15
above head;U16;C;0;1;no;82.49;4.43
hook shot;U16;C;1;0;no;8.9;1.73
above head;U16;C;0;1;no;3.8;7.27
above head;U16;C;0;1;no;88.47;3.54
other;U16;G;0;0;dribble or cut;14.86;1.04
above head;U16;G;0;1;no;46.66;7.51
other;U16;G;0;1;no;59.26;1.87
layup;U16;G;1;0;dribble or cut;67.71;1.1
layup;U16;G;0;0;dribble or cut;64.14;0.83
above head;U16;G;0;0;dribble or cut;54.7;0.72
above head;U16;G;0;0;dribble or cut;57.56;1.08
above head;U16;G;0;1;no;3.83;7.22
hook shot;U16;G;0;1;no;60.04;1.05
above head;U16;G;0;1;no;13.02;4.52
above head;U16;G;1;1;no;41.17;1.63
above head;U16;G;1;1;no;51.21;7.29
above head;U16;G;1;1;no;42.56;7.37
layup;U16;G;0;0;dribble or cut;62.44;0.79
layup;U16;G;0;0;dribble or cut;67.28;0.52
layup;U16;G;0;0;dribble or cut;64.28;0.71
above head;U16;G;0;1;no;19.04;7.39
above head;U16;G;0;1;no;88.8;7.07
layup;U16;G;0;0;drive;48.3;0.79
layup;U16;G;0;0;dribble or cut;50.76;0.83
layup;U16;G;0;0;dribble or cut;62.28;0.67
layup;U16;G;1;0;dribble or cut;40.97;0.98
above head;U16;G;0;1;no;35.41;7.58
tip-in;U16;G;1;1;no;45.9;0.52
above head;U16;G;0;0;dribble or cut;69.35;1.49
layup;U16;G;1;0;dribble or cut;52.99;0.6
above head;U16;G;0;0;no;55.46;1.5
other;U16;G;0;1;no;66.91;7.1
layup;U16;G;1;0;dribble or cut;58.33;0.69
other;U16;G;0;0;dribble or cut;57.29;0.57
layup;U16;G;0;1;no;7.2;0.85
above head;U16;G;0;1;no;45.53;7.28
above head;U16;G;0;1;no;75.79;6.96
above head;U16;G;0;0;dribble or cut;24.83;0.64
above head;U16;G;0;1;no;76.88;3.03
above head;U16;G;0;1;no;6.84;7.2
layup;U16;G;0;0;dribble or cut;57.01;0.77
other;U16;G;0;1;no;89.22;6.91
above head;U16;G;0;1;no;6.11;8.06
above head;U16;G;0;1;no;87.45;6.97
layup;U16;G;1;0;dribble or cut;59.97;0.62
above head;U16;G;0;1;no;64.37;7.19
above head;U16;G;0;1;no;44.34;7.36
above head;U16;G;1;0;dribble or cut;47.75;0.94
above head;U16;G;0;1;no;72.26;7.2
layup;U16;C;1;1;no;23.85;0.4
layup;U16;C;0;1;no;52.08;0.68
layup;U16;C;0;1;no;78.94;0.49
layup;U16;C;0;0;dribble or cut;54.7;0.72
hook shot;U16;C;0;1;no;66.6;1.05
layup;U16;C;0;1;no;14.25;0.65
layup;U16;C;1;1;no;55.84;0.65
hook shot;U16;C;0;1;no;8.19;1.13
layup;U16;C;1;0;dribble or cut;57.29;0.57
hook shot;U16;C;0;1;no;89.04;0.8
layup;U16;F;1;0;dribble or cut;54.7;0.72
other;U16;F;0;1;no;40.84;7.46
other;U16;F;0;1;no;84.18;5.98
layup;U16;F;0;0;dribble or cut;37.61;0.53
layup;U16;F;0;1;no;28.13;1.02
layup;U16;F;0;1;no;57.29;0.57
above head;U16;F;0;1;no;28;7.3
above head;U16;F;1;0;no;45.41;0.98
layup;U16;F;0;0;dribble or cut;77.6;0.44
dunk;U16;F;1;1;no;21.06;0.45
above head;U16;F;0;1;no;0.86;7.15
above head;U16;F;0;0;dribble or cut;1.92;1.6
layup;U16;F;0;0;dribble or cut;24.58;1.29
above head;U16;F;0;1;no;86.13;6.98
layup;U16;F;0;0;dribble or cut;43.93;1.78
above head;U16;F;0;1;no;86.79;6.49
layup;U16;F;0;0;dribble or cut;67.57;0.81
dunk;U16;F;1;1;no;27.95;0.23
layup;U16;F;0;1;no;62.65;1.03
above head;U16;F;0;1;no;18.12;7.41
above head;U16;F;0;1;no;9.01;7.18
above head;U16;F;0;1;no;48.87;7.18
layup;U16;F;0;1;no;59.17;2.5
above head;U16;F;0;1;no;13.27;7.23
layup;U16;F;0;1;no;52.99;0.6
above head;U16;F;0;1;no;18.1;2.93
above head;U16;F;1;1;no;64.9;4.79
above head;U16;F;0;1;no;37.49;1.41
other;U16;F;0;0;dribble or cut;56;1.23
above head;U16;F;0;1;no;73.18;3.3
above head;U16;F;0;1;no;61.9;7.29
above head;U16;F;0;1;no;71.72;7
other;U16;F;1;0;dribble or cut;9.82;0.31
above head;U16;F;0;1;no;16.81;7.41
above head;U16;F;1;1;no;11.03;7.28
above head;U16;F;0;1;no;48.83;7.26
above head;U16;F;0;1;no;6.27;7.35
above head;U16;F;1;0;dribble or cut;3.61;0.85
above head;U16;F;0;1;no;5.06;7.28
above head;U16;F;0;1;no;25.38;7.38
above head;U16;F;0;1;no;84.41;7.05
above head;U16;F;0;1;no;73.37;7.1
above head;U16;F;0;1;no;59.02;5.62
above head;U16;F;0;1;no;53.89;7.56
other;U16;F;0;1;no;51.67;7.44
above head;U16;F;0;1;no;84.11;5.12
other;U16;F;0;1;no;25.38;7.38
above head;U16;F;0;1;no;49.38;7.34
layup;U16;F;0;1;no;20.76;0.91
above head;U16;F;0;1;no;36.62;7.36
layup;U16;F;0;1;no;13.36;0.93
above head;U16;F;0;1;no;44.95;5.61
layup;U16;F;0;1;no;64.48;0.59
layup;U16;F;0;0;dribble or cut;62.28;0.67
above head;U16;F;0;1;no;6.27;7.35
layup;U16;F;0;0;drive;53.76;0.8
above head;U16;F;0;1;no;40.95;7.11
hook shot;U16;F;1;1;no;18.59;1.01
layup;U16;F;1;0;dribble or cut;52.99;0.6
above head;U16;F;0;0;dribble or cut;47.18;1.17
layup;U16;F;0;0;dribble or cut;42.78;0.79
layup;U16;F;0;1;no;23.47;0.81
layup;U16;F;0;0;drive;78.94;0.49
layup;U16;F;0;1;no;55.84;0.65
above head;U16;F;0;1;no;59.52;7.09
above head;U16;F;0;0;no;72.56;0.67
other;U16;F;0;0;dribble or cut;66.63;1.46
layup;U16;F;0;1;no;42.78;0.79
layup;U16;F;0;0;dribble or cut;59.97;0.62
layup;U16;F;0;1;no;80.02;0.54
hook shot;U16;F;0;1;no;0;1.22
layup;U16;F;0;1;no;45.46;0.9
hook shot;U16;F;0;1;no;38.52;0.6
above head;U16;F;1;0;no;64.14;0.83
above head;U16;G;0;0;dribble or cut;55.92;0.84
above head;U16;G;0;1;no;71.58;7.28
above head;U16;G;0;1;no;28.17;7.38
above head;U16;G;0;1;no;39.16;5.26
above head;U16;G;0;1;no;60.33;7.15
above head;U16;G;0;1;no;84.77;6.94
layup;U16;G;0;0;dribble or cut;68.3;0.69
layup;U16;G;1;1;no;62.05;0.55
other;U16;G;0;0;dribble or cut;31.64;2.45
layup;U16;G;1;0;dribble or cut;66.54;0.64
layup;U16;G;0;0;dribble or cut;56.73;1.15
layup;U16;G;1;0;dribble or cut;48.3;0.79
above head;U16;G;0;0;dribble or cut;28.35;0.9
layup;U16;G;1;0;dribble or cut;42.29;0.64
above head;U16;G;0;1;no;57.39;7.57
other;U16;G;0;1;no;33.42;9.73
above head;U16;G;0;0;dribble or cut;54.49;1.65
above head;U16;G;0;1;no;65.58;7
above head;U16;G;0;1;no;67.96;7.28
layup;U16;G;0;0;dribble or cut;53.76;0.8
above head;U16;G;0;1;no;34.27;7.8
layup;U16;G;1;1;no;65.38;1
above head;U16;G;1;1;no;43.74;7.36
other;U16;G;0;1;no;22.75;7.34
above head;U16;G;0;0;no;58.4;1.82
above head;U16;G;0;1;no;55.91;7.37
layup;U16;G;0;0;dribble or cut;80.91;0.6
above head;U16;G;1;1;no;74.02;7.19
above head;U16;G;0;0;no;72.84;2.69
other;U16;G;0;1;no;81.38;7.1
other;U16;G;0;1;no;43.73;5.35
above head;U16;G;0;0;dribble or cut;10.93;1.41
above head;U16;G;0;0;dribble or cut;25.42;1
other;U16;G;1;1;no;31.25;6.09
above head;U16;G;0;1;no;64.86;4.02
other;U16;G;0;1;no;18.79;7.15
above head;U16;G;0;1;no;24.8;7.28
other;U16;G;0;1;no;14.1;7.26
layup;U16;G;0;0;dribble or cut;78;0.71
other;U16;G;0;1;no;49.02;7.45
layup;U16;G;1;0;dribble or cut;40.26;0.83
layup;U16;G;0;1;no;78;0.71
above head;U16;G;0;1;no;69.55;7.2
above head;U16;G;0;1;no;89.66;6.86
other;U16;G;0;1;no;44.93;7.28
above head;U16;G;0;1;no;8.48;5.81
above head;U16;G;0;1;no;86.82;7.03
above head;U16;G;1;1;no;87.29;5.42
above head;U16;G;0;0;no;4.42;1.39
above head;U16;C;0;1;no;88.57;7.02
layup;U16;C;0;1;no;43.12;0.94
layup;U16;C;0;1;no;43.12;0.94
layup;U16;C;0;1;no;30.74;1.36
layup;U16;C;0;1;no;62.44;0.79
hook shot;U16;C;0;0;no;7.62;1.62
layup;U16;C;0;1;no;52.34;0.95
layup;U16;C;0;1;no;23.03;1.51
above head;U16;C;0;1;no;28.17;7.38
above head;U16;C;0;1;no;87.04;5.47
layup;U16;C;0;1;no;57.29;0.57
above head;U16;C;0;1;no;37.8;7.34
layup;U16;C;0;1;no;72.93;0.5
hook shot;U16;C;0;1;no;48.38;2.01
above head;U16;C;0;1;no;11.03;7.28
layup;U16;C;0;1;no;54.78;1.38
above head;U16;C;0;1;no;44.27;6.52
above head;U16;C;0;1;no;13.66;4.31
other;U16;C;0;0;dribble or cut;57.1;3.45
other;U16;C;0;1;no;87.04;3.92
above head;U16;C;0;1;no;4.64;7.28
above head;U16;C;0;1;no;87.46;4.56
above head;U16;C;0;1;no;85.15;4.3
layup;U16;C;1;0;dribble or cut;52.08;0.68
above head;U16;C;0;1;no;53.4;7.47
above head;U16;C;0;1;no;11.51;2.95
hook shot;U16;C;0;1;no;14.11;1.32
layup;U16;C;0;1;no;62.97;1.98
layup;U16;C;0;1;no;72.56;0.67
layup;U16;C;0;1;no;18.83;0.5
other;U16;C;0;1;no;59.02;1.12
above head;U16;C;1;1;no;76.55;3.42
layup;U16;C;0;1;no;73.83;0.73
